Identity,Link,Location,Area,Beds,Baths,Price,Balloted,Boundary Wall,Corner,Disputed,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply,Distance From Airport (kms)
Residential Plot 47250895,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f1_sector_f1_street_10_plot_13_south_face_1_kanal_plot_for_sale-47250895-17402-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots > DHA Phase 5 - Sector F1 Residential Plots,604.44,0.0,0.0,19500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47075926,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_plot_available_for_sale_in_dha_phase_2_islamabad-47075926-339-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots,302.2,0.0,0.0,24000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46695028,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_a_south_face_heighted_location_size_50_90_sector_a_dha_phase_4-46695028-13956-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 4 Residential Plots > DHA Phase 4 - Sector A Residential Plots,604.44,0.0,0.0,29500000.0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 47306742,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha-2_1_kanal_sector_-a_south_face-47306742-339-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots,604.44,0.0,0.0,44500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 46274989,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_main_gt_road_commercial_for_sale-46274989-339-2.html,Islamabad Commercial Plots > DHA Defence Commercial Plots > DHA Defence Phase 2 Commercial Plots,151.1,0.0,0.0,65000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 42377802,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_dha_phase_05_plot_for_sale-42377802-8836-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots > DHA Phase 5 - Sector F Residential Plots,151.1,0.0,0.0,13000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46550194,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_h_dha_2_beautiful_plot_block_h_reasonable_price_golden_opportunity-46550194-3203-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector H Residential Plots,604.44,0.0,0.0,40000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47103982,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_islamabad_phase_2_southface_level_plot_in_sector_b-47103982-339-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots,604.44,0.0,0.0,51000000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1.0
Residential Plot 47048563,https://www.zameen.com/Property/dha_defence_dha_defence_phase_3_dha3_rawalpindi_ex_serene_city_sector_b_8marla_plot_for_sale-47048563-8412-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 3 Residential Plots,241.76,0.0,0.0,12200000.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0
Residential Plot 47266221,https://www.zameen.com/Property/dha_valley_dha_valley_-_bluebell_sector_8_marla_bluebell_1st_ballot_with_possession_letter-47266221-3216-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Valley Residential Plots > DHA Valley - Bluebell Sector Residential Plots,241.76,0.0,0.0,4200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46844745,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_c_1_kanal_residential_plot_for_sale_sector_c_dha_phase_2_islamabad-46844745-3198-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector C Residential Plots,604.44,0.0,0.0,40000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46885549,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_plot_near_to_main_boulevard_in_sector_d-46885549-339-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots,604.44,0.0,0.0,42500000.0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 46182790,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_10_marla_residential_plot_for_sale_in_defence_villa_dha_phase_1_islamabad-46182790-376-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 1 Residential Plots,302.2,0.0,0.0,22500000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 47016807,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_h_1_kanal_residential_plot_at_affordable_price-47016807-16730-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 3 Residential Plots > DHA Phase 3 - Block H Residential Plots,604.44,0.0,0.0,13300000.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0
Residential Plot 47281031,https://www.zameen.com/Property/dha_defence_dha_defence_phase_4_highly-desirable_residential_plot_available_in_dha_defence_phase_4_for_sale-47281031-8413-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 4 Residential Plots,604.44,0.0,0.0,19000000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0
Residential Plot 47161261,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_30_marla_corner_plot_available_for_sale_in_sector_a_st_7_dha_phase_5_islamabad-47161261-10991-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots,906.66,0.0,0.0,65000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46457035,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_b_dha_3_sector_b_kanal_plot-46457035-16227-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 3 Residential Plots > DHA Phase 3 - Block B Residential Plots,604.44,0.0,0.0,27000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47185903,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_unoccupied_residential_plot_of_40_marla_is_available_for_sale_in_dha_defence-47185903-10991-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots,1208.88,0.0,0.0,85000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 46635854,https://www.zameen.com/Property/dha_defence_phase_5_expressway_commercial_4_marla_commercial_plot_is_available_for_sale_in_dha_5_main_expressway-46635854-13293-2.html,Islamabad Commercial Plots > DHA Defence Commercial Plots > DHA Defence Phase 5 Commercial Plots > Expressway Commercial Commercial Plots,120.88,0.0,0.0,35000000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0
Residential Plot 47215802,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_a_1_kanal_developed_possesionable_plot_available_for_sale-47215802-13956-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 4 Residential Plots > DHA Phase 4 - Sector A Residential Plots,604.44,0.0,0.0,28500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46665059,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_c_dha_phase_5_sector_c-46665059-8402-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots > DHA Phase 5 - Sector C Residential Plots,604.44,0.0,0.0,27000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46840701,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_available_corner_1_kanal_residential_plot_no_6_street_no_6_dha_islamabad-46840701-339-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots,604.44,0.0,0.0,62000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Plot File 46817417,https://www.zameen.com/Property/dha_defence_dha_defence_phase_4_dha_phase_4_river_view_south-46817417-8413-2.html,Islamabad Plot Files > DHA Defence Plot Files > DHA Defence Phase 4 Plot Files,302.2,0.0,0.0,200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46411639,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_d_residential_plot_in_dha_phase_2_sector_d_islamabad-46411639-3199-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector D Residential Plots,302.2,0.0,0.0,26000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47248374,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_plot_for_sale_street_25_plot_no_12_south_face_sector_a-47248374-10991-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots,604.44,0.0,0.0,33500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46904593,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_g_get_your_hands_on_prime_location_residential_plot_in_islamabad_best_area-46904593-3202-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector G Residential Plots,604.44,0.0,0.0,40000000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.0
Residential Plot 47142186,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_g_1_kanal_residential_plot_for_sale_sector_g_dha_phase_2_islamabad-47142186-3202-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector G Residential Plots,604.44,0.0,0.0,53500000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0.0
Residential Plot 47316221,https://www.zameen.com/Property/dha_valley_dha_valley_-_bluebell_sector_for_sale_in_dha_valley_islamabad_in_sector_bluebell_8_marla_1st_ballot_with_possession_letter-47316221-3216-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Valley Residential Plots > DHA Valley - Bluebell Sector Residential Plots,241.76,0.0,0.0,4700000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Residential Plot 46957006,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_c_1_kanal_plot_for_sale_in_dha_phase_2_sector_c-46957006-3198-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector C Residential Plots,604.44,0.0,0.0,39000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46974553,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_b_sector_b_top_hight_1kanal_for_sale-46974553-8401-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots > DHA Phase 5 - Sector B Residential Plots,604.44,0.0,0.0,34500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
