Identity,Link,Location,Area,Beds,Baths,Price,ATM Machines,Balloted,Barbeque Area,Boundary Wall,Broadband Internet Access,Business Center or Media Room in Building,Central Air Conditioning,Central Heating,Communal/Shared Kitchen,Community Centre,Community Gym,Community Lawn or Garden,Community Swimming Pool,Conference Room in Building,Corner,Day Care Centre,Dining Room,Disputed,Double Glazed Windows,Drawing Room,Electricity,Electricity Backup,Facilities for Disabled,File,First Aid or Medical Centre,Flooring,Furnished,Gym,Intercom,Jacuzzi,Kids Play Area,Laundry Room,Laundry or Dry Cleaning Facility,Lawn or Garden,Lobby in Building,Lounge or Sitting Room,Maintenance Staff,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Pet Policy,Possesion,Powder Room,Prayer Room,Satellite or Cable TV Ready,Sauna,Security Staff,Service Elevators in Building,Sewerage,Steam Room,Study Room,Sui Gas,Swimming Pool,Waste Disposal,Water Supply,Built in year,Distance From Airport (kms),Elevators,Floor,Floors,Floors in Building,Kitchens,Parking Spaces,Servant Quarters,Store Rooms
Flat 47219249,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_2_bedroom_1695_sqft_executive_category_apartment_available-47219249-11983-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector H Flats,226.65,2.0,3.0,14500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,16.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0
Flat 47277439,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_bahria_enclave_islamabad_sector_i_the_galleria_three_bed_gold_inner_face_appartment_for_sale-47277439-11982-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector I Flats,226.65,3.0,3.0,14500000.0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,2022.0,1.0,16.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0
Penthouse 46979850,https://www.zameen.com/Property/bahria_town_bahria_enclave_penthouse_for_sale_in_bahria_enclave-46979850-1705-1.html,Islamabad Penthouse > Bahria Town Penthouse > Bahria Enclave Penthouse,429.124,0.0,0.0,32500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat 45111962,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_beautiful_1_2_bed_room_s_ready_appartment_available_for_sale_in_sector_a-45111962-11970-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector A Flats,111.814,1.0,2.0,8800000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
Flat 47242339,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_2_bed_room_appertment_for_sale_in_sector_a_bahria_enclave_islamabad-47242339-11970-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector A Flats,108.792,2.0,2.0,6800000.0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,2019.0,1.0,1.0,3.0,0.0,5.0,1.0,4.0,0.0,0.0
House 46901630,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_2_bed_apartment_on_3_years_installments_in_bahria_enclave-46901630-11985-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector F Houses,151.1,2.0,2.0,14000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat 47201020,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_3_bedroom_gold_category_apartment_park_face_beautiful_view_available-47201020-11983-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector H Flats,226.65,3.0,3.0,14600000.0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0.0,0.0,16.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0
Flat 47352971,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_the_galleria_mall_2_bed_silver_category_1366_sq_ft_apartment_available_for_sale-47352971-11983-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector H Flats,184.342,2.0,2.0,12000000.0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2023.0,1.0,16.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0
House 45890254,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_sector_c1_10_marla_house_for_sale_in_bahria_enclave_islamabad-45890254-11987-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector C1 Houses,302.2,5.0,6.0,48500000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
House 47115082,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_5_marla_brand_new_house_available_for_sale_with_basement-47115082-11972-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector B1 Houses,151.1,5.0,6.0,31000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
House 44128398,https://www.zameen.com/Property/bahria_town_bahria_enclave_a_very_elegant_10_marla_house_available_for_sale_in_sector_a_bahria_enclave_islamabad-44128398-1705-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses,302.2,5.0,6.0,48500000.0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 46734212,https://www.zameen.com/Property/bahria_town_bahria_enclave_7marla_corner_house_avaliable_for_sale-46734212-1705-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses,151.1,4.0,4.0,28500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 46415680,https://www.zameen.com/Property/bahria_town_bahria_enclave_10_marla_park_face_brand_new_luxurious_house_is_available_for_sell_in_bahria_enclave_islamabad-46415680-1705-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses,302.2,5.0,5.0,52500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 46274700,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_a_gorgeous_05_marla_house_with_original_picture_for_sale_in_bahria_enclave_islamabad-46274700-11983-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector H Houses,151.1,3.0,4.0,22500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
House 47323451,https://www.zameen.com/Property/islamabad_bahria_town_house_for_sale_bahria_town-47323451-383-1.html,Islamabad Houses > Bahria Town Houses,664.8840000000001,10.0,6.0,85000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 45973521,https://www.zameen.com/Property/bahria_town_bahria_enclave_get_in_touch_now_to_buy_a_10_marla_house_in_bahria_enclave_islamabad-45973521-1705-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses,302.2,5.0,5.0,47000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat 47319861,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_2_bed_silver_category_park_face_apartment_available_for_sale-47319861-11983-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector H Flats,184.342,2.0,2.0,12000000.0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2023.0,1.0,16.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0
House 46881324,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_gray_structure_with_a_class_construction_at_prime_location-46881324-11985-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector F Houses,302.2,5.0,6.0,32500000.0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
Flat 47351621,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_looking_for_a_flat_in_bahria_enclave_-_sector_f_islamabad-47351621-11985-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector F Flats,169.23199999999997,2.0,2.0,15000000.0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
House 46849657,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c3_sector_c3_10_marla_house_for_sale_in_bahria_enclave_islamabad-46849657-11989-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector C3 Houses,302.2,4.0,5.0,45000000.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
Penthouse 46880585,https://www.zameen.com/Property/bahria_town_bahria_enclave_luxurious_3bhk_penthous_available_for_sale-46880585-1705-1.html,Islamabad Penthouse > Bahria Town Penthouse > Bahria Enclave Penthouse,429.124,0.0,0.0,18000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
House 46576999,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_5_marla_brand_new_house_available_for_sale-46576999-11975-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector N Houses,151.1,3.0,3.0,23500000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
Flat 46827627,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_good_1695_square_feet_flat_for_sale_in_bahria_enclave_-_sector_i-46827627-11982-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector I Flats,226.65,3.0,3.0,15500000.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2023.0,0.0,1.0,5.0,0.0,9.0,1.0,2.0,0.0,0.0
Flat 47242075,https://www.zameen.com/Property/bahria_town_bahria_garden_city_reserve_a_centrally_located_prime_location_flat_of_750_square_feet_in_bahria_garden_city-47242075-8120-1.html,Islamabad Flats > Bahria Town Flats > Bahria Garden City Flats,99.72599999999998,1.0,1.0,18800000.0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2021.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
House 47005686,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_house_avaliable_for_sell_in_sec_h_bheria_enclave_islamabad-47005686-11983-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector H Houses,151.1,4.0,5.0,25000000.0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
House 46717777,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_brand_new_5_beds_8_marla_house_for_sale_located_in_sector_n_bahria_enclave-46717777-11975-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector N Houses,241.76,0.0,0.0,40000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Flat 47088452,https://www.zameen.com/Property/bahria_town_bahria_enclave_flat_for_sale_is_readily_available_in_prime_location_of_bahria_enclave-47088452-1705-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats,290.112,3.0,0.0,28000000.0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 44816373,https://www.zameen.com/Property/bahria_town_bahria_enclave_10_marla_slightly_used_house_located_on_main_urban_boulevard_is_available_for_sale-44816373-1705-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses,302.2,5.0,6.0,51000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat 46607509,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_bed_apartment_in_rm_tower_bahria_enclave_murree_expressway-46607509-1705-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats,160.166,2.0,2.0,19100000.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
House 45694526,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_9_marla_beautiful_house_available_for_sale_boulevard_category_house-45694526-11987-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector C1 Houses,302.2,5.0,6.0,39000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
House 46705840,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_beautiful_house_in_sector-c2_bahria_enclave_islamabad-46705840-11988-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector C2 Houses,302.2,5.0,6.0,46500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2023.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
Flat 44520360,https://www.zameen.com/Property/bahria_enclave_akas_mall_residencia_want_to_buy_a_flat_in_islamabad-44520360-11729-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Akas Mall & Residencia Flats,247.804,3.0,3.0,18500000.0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,2023.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
Flat 45860452,https://www.zameen.com/Property/bahria_enclave_the_galleria_3_bed_gold_category_ready_apartment_for_sale_on_reasonable_price-45860452-10002-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > The Galleria Flats,226.65,3.0,3.0,14700000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022.0,0.0,16.0,6.0,0.0,10.0,1.0,1.0,0.0,0.0
House 45292238,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_new_house_available_for_sale_in_sector_c1_bahria_enclave_islamabad-45292238-11987-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector C1 Houses,302.2,5.0,6.0,45000000.0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
House 47054336,https://www.zameen.com/Property/bahria_town_bahria_enclave_extra_land_gray_structure_bahria_enclave_islamabad-47054336-1705-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses,302.2,5.0,6.0,32500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0
House 45934483,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_sector_b1_5_marla_house_with_basement_for_sale_in_bahria_enclave_islamabad-45934483-11972-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector B1 Houses,151.1,4.0,5.0,30000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
House 46368793,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_sector_a_10_marla_brand_new_house_for_sale-46368793-11970-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector A Houses,302.2,5.0,5.0,49500000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
Flat 46946842,https://www.zameen.com/Property/bahria_town_bahria_garden_city_property_for_sale_in_bahria_garden_city_islamabad_is_available_under_rs_24_066_462-46946842-8120-1.html,Islamabad Flats > Bahria Town Flats > Bahria Garden City Flats,202.474,2.0,2.0,24100000.0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,2023.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
House 45549081,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_16_marla_designer_house_available_for_sale_near_to_main_entrance_and_beacon_house_school-45549081-11970-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector A Houses,604.44,6.0,6.0,74500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0
Flat 47183885,https://www.zameen.com/Property/bahria_town_bahria_enclave_the_grande_business_center_brand_new_ready_to_live_best_apartment_in_bahria_enclave-47183885-1705-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats,87.63799999999999,1.0,1.0,9500000.0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2022.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0
Flat 46941243,https://www.zameen.com/Property/bahria_enclave_the_royal_mall_and_residency_royal_mall_and_residency_2_bed_apartment_1450_square_feet_on_4th_floor_sun_facing_available_for_sale-46941243-10909-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > The Royal Mall and Residency Flats,193.408,2.0,3.0,16500000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,2.0,1.0,0.0
Flat 47351548,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_flat_in_bahria_enclave_-_sector_f_for_sale-47351548-11985-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats > Bahria Enclave - Sector F Flats,169.23199999999997,2.0,2.0,15000000.0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Flat 47015445,https://www.zameen.com/Property/bahria_town_bahria_enclave_1_bed_studio_apartment_available_on_easy_installments_near_to_main_entrance_zoo_park-47015445-1705-1.html,Islamabad Flats > Bahria Town Flats > Bahria Enclave Flats,54.396,1.0,1.0,5100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,0.0,1.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0
House 47363814,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_corner_3_beds_brand_new_5_mara_house_for_sale_located_in_bahria_enclave_islamabad-47363814-11983-1.html,Islamabad Houses > Bahria Town Houses > Bahria Enclave Houses > Bahria Enclave - Sector H Houses,151.1,0.0,0.0,22000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
