Identity,Link,Location,Area,Beds,Baths,Price,Balloted,Boundary Wall,Corner,Disputed,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply,Distance From Airport (kms)
Commercial Plot 46026065,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_commercial_plot_in_sector_n_bahria_enclave_islamabad-46026065-11975-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots > Bahria Enclave - Sector N Commercial Plots,151.1,0.0,0.0,33500000.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 41953027,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_1_kanal_plot_road_5b_open_form_boulevard_paid_plot_for_sale-41953027-11988-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C2 Residential Plots,604.44,0.0,0.0,31000000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 41954829,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_m_street_27_plot_park_face_sector_m_open_form-41954829-11977-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector M Residential Plots,302.2,0.0,0.0,14500000.0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 46623871,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_m_plot_for_sale_sector_m_3_marla_extra_land_park_face_possession_utility_paid_at_prime_location_bahria_enclave_islamabad-46623871-11977-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector M Residential Plots,392.86,0.0,0.0,15500000.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 43186129,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_solid_land_plot_available_for_sale-43186129-11987-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C1 Residential Plots,302.2,0.0,0.0,17500000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.0
Residential Plot 44696974,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_bahria_enclave_sector_c1_new_deal_open_form_street_16_1-44696974-11987-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C1 Residential Plots,302.2,0.0,0.0,15000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46928385,https://www.zameen.com/Property/bahria_town_bahria_enclave_5_marla_plot_residence-46928385-1705-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots,151.1,0.0,0.0,9500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47354385,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_prominently-located_residential_plot_available_in_bahria_enclave_-_sector_j_for_sale-47354385-11981-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector J Residential Plots,241.76,0.0,0.0,6400000.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1.0
Residential Plot 46929533,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f1_5_marla_residential-46929533-11986-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector F1 Residential Plots,151.1,0.0,0.0,8600000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Residential Plot 46791902,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_8_marla_margallah_view_main_boulevard_plot-46791902-8368-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave 2 Residential Plots,241.76,0.0,0.0,11000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 45608248,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_new_deal_5_marla_commercial_plot_available_on_instalment_option_in_bahria_enclave_islamabad-45608248-11975-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots > Bahria Enclave - Sector N Commercial Plots,151.1,0.0,0.0,22000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 40831192,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_bahria_enclave_beautiful_location_prime_5_marla_commercial_boulevard_back_open_plot_available_for_sale_reasonable_demand-40831192-11972-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots > Bahria Enclave - Sector B1 Commercial Plots,151.1,0.0,0.0,22700000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 46928566,https://www.zameen.com/Property/bahria_town_bahria_enclave_commercial_plot-46928566-1705-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots,241.76,0.0,0.0,55000000.0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0.0
Residential Plot 45750763,https://www.zameen.com/Property/bahria_garden_city_bahria_garden_city_-_zone_4_garden_city_zone_4_east_plot_for_sale-45750763-10608-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Garden City Residential Plots > Bahria Garden City - Zone 4 Residential Plots,1208.88,0.0,0.0,62500000.0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 47137605,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_direct_owner_sector_n_5_marla_boulevard_80_feet_road_murree_facing_solid_land_possession_utility_charges_paid_plot_for_sale-47137605-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,151.1,0.0,0.0,10500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46891662,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_8marla_residential_plot_ready_for_construction_in_bahria_enclave_islamabad-46891662-11972-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector B1 Residential Plots,241.76,0.0,0.0,12800000.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0.0
Residential Plot 47307822,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_8_marla_ready_to_construct_plot_is_available_for_sale-47307822-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,241.76,0.0,0.0,11000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47211384,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_a_1_kanal_sami_corner_ready_plot_for_sale_in_bahria_enclave_islamabad_sector_a_possession_utilities_paid_dem_415_lac-47211384-11970-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector A Residential Plots,604.44,0.0,0.0,41500000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1.0
Residential Plot 44970572,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f1_property_for_sale_in_bahria_enclave_-_sector_f1_islamabad_is_available_under_rs_10_500_000-44970572-11986-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector F1 Residential Plots,241.76,0.0,0.0,10500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Residential Plot 46470805,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_plot_for_sale_sector_i_possession_utility_map_all_paid_extreme_top_location_bahria_enclave_islamabad-46470805-11982-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector I Residential Plots,151.1,0.0,0.0,8500000.0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0.0
Residential Plot 46829594,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_1_kanal_boulevard_category_plot_available_for_sale_margalla_facing_view-46829594-11988-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C2 Residential Plots,604.44,0.0,0.0,29000000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0
Residential Plot 44234964,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_bahria_enclave_sector_n_8_marla_residential_plot_available_for_sale_at_prime_location-44234964-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,241.76,0.0,0.0,12000000.0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.0
Residential Plot 47264937,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f_1_kanal_ready_to_construct_possession_utility_charges_paid_plot_for_sale_in_sector_f_bahria_enclave_islamabad-47264937-11985-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector F Residential Plots,604.44,0.0,0.0,35000000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 47041202,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_10_marla_plot_for_sale-47041202-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,302.2,0.0,0.0,15500000.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 46543301,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_plot_for_sale_sector_i_park_face_possession_utility_paid_near_to_civic_zone_at_prime_location_bahria_enclave_islamabad-46543301-11982-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector I Residential Plots,151.1,0.0,0.0,8000000.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 46981246,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f1_prime_location_sector_f1_8marla_plot_for_sale_bahria_enclave_islamabad-46981246-11986-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector F1 Residential Plots,241.76,0.0,0.0,10600000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46011915,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_plot_for_sale_sector_a_possession_utility_map_all_paid_near_to_gate_bahria_enclave_islamabad-46011915-11970-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector A Residential Plots,302.2,0.0,0.0,21500000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 46400351,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_o_5_marla_plot_for_sale_in_bahria_enclave-46400351-11974-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector O Residential Plots,151.1,0.0,0.0,5500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 47244833,https://www.zameen.com/Property/bahria_town_bahria_oriental_garden_open_transfer_commercial_plot_no_10_available_in_oriental_garden_commercial-47244833-13813-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Oriental Garden Commercial Plots,302.2,0.0,0.0,80000000.0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.0
Residential Plot 45889075,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_m_1_kanal_back_open_boulevard_top_location_plot_for_sale_sector_m-45889075-11977-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector M Residential Plots,604.44,0.0,0.0,26500000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
